[11:00:10] login_id: 1 | SQL: INSERT INTO tbl_other_recieveble (date, head, particuler, amount, iscomplete,flag) VALUES (?, ?, ?, ?, 1,?) | Values: ["2025-10-20","7","test","500","2"]
[11:00:10] login_id: 1 | SQL: INSERT INTO tbl_other_recieved (date, head, particuler, amount, recieveble_id,flag,transaction_type) VALUES (?, ?, ?, ?, ?,?,?) | Values: ["2025-10-20","7","test","500","1","2","2"]
[11:00:10] login_id: 1 | SQL: INSERT INTO tbl_payable (date, head, particuler, amount, iscomplete, flag, invoice_id) VALUES (?, 2, ?, ?, 1, ?, ?) | Values: [null,"test",null,"2","1"]
[11:12:56] login_id: 1 | SQL: INSERT INTO tbl_other_recieveble (date, head, particuler, amount, iscomplete,flag) VALUES (?, ?, ?, ?, 0,?) | Values: ["2025-10-20","7","test","300","2"]
[11:12:56] login_id: 1 | SQL: INSERT INTO tbl_other_recieved (date, head, particuler, amount, recieveble_id,flag,transaction_type) VALUES (?, ?, ?, ?, ?,?,?) | Values: ["2025-10-20","7","test","100","2","2","2"]
[11:12:56] login_id: 1 | SQL: INSERT INTO tbl_payable (date, head, particuler, amount, iscomplete, flag, invoice_id) VALUES (?, 2, ?, ?, 1, ?, ?) | Values: ["2025-10-20","test","100","2","2"]
[11:12:56] login_id: 1 | SQL: INSERT INTO tbl_paid (date, head, particuler, amount, payable_id, flag,transaction_type, invoice_id,is_member_trans) VALUES (?, 2, ?, ?, ?, ?, ?, ?, ?) | Values: [null,null,null,"6","2","2","2",0]
[11:13:50] login_id: 1 | SQL: INSERT INTO tbl_other_recieveble (date, head, particuler, amount, iscomplete,flag) VALUES (?, ?, ?, ?, 0,?) | Values: ["2025-10-20","7","test","300","2"]
[11:13:50] login_id: 1 | SQL: INSERT INTO tbl_other_recieved (date, head, particuler, amount, recieveble_id,flag,transaction_type) VALUES (?, ?, ?, ?, ?,?,?) | Values: ["2025-10-20","7","test","100","3","2","2"]
[11:13:50] login_id: 1 | SQL: INSERT INTO tbl_payable (date, head, particuler, amount, iscomplete, flag, invoice_id) VALUES (?, 2, ?, ?, 1, ?, ?) | Values: ["2025-10-20","test","100","2","3"]
[11:13:50] login_id: 1 | SQL: INSERT INTO tbl_paid (date, head, particuler, amount, payable_id, flag,transaction_type, invoice_id,is_member_trans) VALUES (?, 2, ?, ?, ?, ?, ?, ?, ?) | Values: ["2025-10-20","test","100","7","2","2","3",0]
[11:21:27] login_id: 1 | SQL: INSERT INTO tbl_other_recieved (date, head, particuler, amount, recieveble_id,flag,transaction_type) VALUES (?, ?, ?, ?, ?,?,?) | Values: ["2025-10-20","7","test","200","3","2","2"]
[11:21:27] login_id: 1 | SQL: UPDATE tbl_other_recieveble SET iscomplete = ?  WHERE id = ? | Values: [1,"3"]
[11:21:27] login_id: 1 | SQL: INSERT INTO tbl_payable (date, head, particuler, amount, iscomplete, flag, invoice_id) VALUES (?, 2, ?, ?, 1, ?, ?) | Values: ["2025-10-20","test","200","2","3"]
[11:21:27] login_id: 1 | SQL: INSERT INTO tbl_paid (date, head, particuler, amount, payable_id, flag,transaction_type, invoice_id,is_member_trans) VALUES (?, 2, ?, ?, ?, ?, ?, ?, ?) | Values: ["2025-10-20","test","200","","2","2","3",0]
[11:22:58] login_id: 1 | SQL: INSERT INTO tbl_other_recieved (date, head, particuler, amount, recieveble_id,flag,transaction_type) VALUES (?, ?, ?, ?, ?,?,?) | Values: ["2025-10-20","7","test","200","2","2","2"]
[11:22:58] login_id: 1 | SQL: UPDATE tbl_other_recieveble SET iscomplete = ?  WHERE id = ? | Values: [1,"2"]
[11:22:58] login_id: 1 | SQL: INSERT INTO tbl_payable (date, head, particuler, amount, iscomplete, flag, invoice_id) VALUES (?, 2, ?, ?, 1, ?, ?) | Values: ["2025-10-20","test","200","2","2"]
[11:22:58] login_id: 1 | SQL: INSERT INTO tbl_paid (date, head, particuler, amount, payable_id, flag,transaction_type, invoice_id,is_member_trans) VALUES (?, 2, ?, ?, ?, ?, ?, ?, ?) | Values: ["2025-10-20","test","200","9","2","2","2",0]
[11:24:08] login_id: 1 | SQL: UPDATE tbl_member_recievable SET cancel = ? WHERE id = ? | Values: ["1","1"]
[11:24:08] login_id: 1 | SQL: UPDATE tbl_member_recieved SET cancel = ? WHERE receiveble_id = ? | Values: ["1","1"]
[11:24:08] login_id: 1 | SQL: UPDATE tbl_payable SET cancel = ? WHERE invoice_id = ? | Values: ["1","1"]
[11:24:08] login_id: 1 | SQL: UPDATE tbl_paid SET cancel = ? WHERE invoice_id = ? | Values: ["1","1"]
[11:33:03] login_id: 1 | SQL: UPDATE tbl_other_recieveble SET cancel = ? WHERE id = ? | Values: ["1","1"]
[11:33:03] login_id: 1 | SQL: UPDATE tbl_other_recieved SET cancel = ? WHERE receiveble_id = ? | Values: ["1","1"]
[11:54:14] login_id: 1 | SQL: UPDATE tbl_other_recieveble SET cancel = ? WHERE id = ? | Values: ["1","1"]
[11:54:14] login_id: 1 | SQL: UPDATE tbl_other_recieved SET cancel = ? WHERE receiveble_id = ? | Values: ["1","1"]
[11:55:09] login_id: 1 | SQL: UPDATE tbl_other_recieveble SET cancel = ? WHERE id = ? | Values: ["1","1"]
[11:55:09] login_id: 1 | SQL: UPDATE tbl_other_recieved SET cancel = ? WHERE recieveble_id = ? | Values: ["1","1"]
[11:55:09] login_id: 1 | SQL: UPDATE tbl_payable SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["1","1",0]
[11:55:09] login_id: 1 | SQL: UPDATE tbl_paid SET cancel = ? WHERE invoice_id = ? is_member_trans = ? | Values: ["1","1",0]
[11:55:37] login_id: 1 | SQL: UPDATE tbl_other_recieveble SET cancel = ? WHERE id = ? | Values: ["1","1"]
[11:55:37] login_id: 1 | SQL: UPDATE tbl_other_recieved SET cancel = ? WHERE recieveble_id = ? | Values: ["1","1"]
[11:55:37] login_id: 1 | SQL: UPDATE tbl_payable SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["1","1",0]
[11:55:37] login_id: 1 | SQL: UPDATE tbl_paid SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["1","1",0]
[11:56:22] login_id: 1 | SQL: UPDATE tbl_other_recieveble SET cancel = ? WHERE id = ? | Values: ["0","1"]
[11:56:22] login_id: 1 | SQL: UPDATE tbl_other_recieved SET cancel = ? WHERE recieveble_id = ? | Values: ["0","1"]
[11:56:22] login_id: 1 | SQL: UPDATE tbl_payable SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["0","1",0]
[11:56:22] login_id: 1 | SQL: UPDATE tbl_paid SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["0","1",0]
[11:56:58] login_id: 1 | SQL: UPDATE tbl_other_recieveble SET cancel = ? WHERE id = ? | Values: ["1","1"]
[11:56:58] login_id: 1 | SQL: UPDATE tbl_other_recieved SET cancel = ? WHERE recieveble_id = ? | Values: ["1","1"]
[11:56:58] login_id: 1 | SQL: UPDATE tbl_payable SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["1","1",0]
[11:56:58] login_id: 1 | SQL: UPDATE tbl_paid SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["1","1",0]
[11:58:51] login_id: 1 | SQL: UPDATE tbl_other_recieveble SET cancel = ? WHERE id = ? | Values: ["0","1"]
[11:58:51] login_id: 1 | SQL: UPDATE tbl_other_recieved SET cancel = ? WHERE recieveble_id = ? | Values: ["0","1"]
[11:58:51] login_id: 1 | SQL: UPDATE tbl_payable SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["0","1",0]
[11:58:51] login_id: 1 | SQL: UPDATE tbl_paid SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["0","1",0]
[11:59:00] login_id: 1 | SQL: UPDATE tbl_other_recieveble SET cancel = ? WHERE id = ? | Values: ["1","1"]
[11:59:00] login_id: 1 | SQL: UPDATE tbl_other_recieved SET cancel = ? WHERE recieveble_id = ? | Values: ["1","1"]
[11:59:00] login_id: 1 | SQL: UPDATE tbl_payable SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["1","1",0]
[11:59:00] login_id: 1 | SQL: UPDATE tbl_paid SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["1","1",0]
[12:00:37] login_id: 1 | SQL: UPDATE tbl_other_recieveble SET cancel = ? WHERE id = ? | Values: ["1","2"]
[12:00:37] login_id: 1 | SQL: UPDATE tbl_other_recieved SET cancel = ? WHERE recieveble_id = ? | Values: ["1","2"]
[12:00:37] login_id: 1 | SQL: UPDATE tbl_payable SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["1","2",0]
[12:00:37] login_id: 1 | SQL: UPDATE tbl_paid SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["1","2",0]
[17:16:54] login_id: 1 | SQL: INSERT INTO tbl_member_recievable (member_id, fees, date, login_id, head, discription, iscomplete,flag) VALUES (?, ?, ?, ?, ?, ?, 0,?) | Values: ["1","300","2025-10-20",1,"7","test","2"]
[17:16:54] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id, iswallet,flag,transaction_type) VALUES (?, ?, ?, ?, ?, ?, ?,0,?,?) | Values: ["1","100","2025-10-20",1,"7","test","12","2","2"]
[17:16:54] login_id: 1 | SQL: INSERT INTO tbl_payable (date, head, particuler, amount, iscomplete, flag, invoice_id, is_member_trans) VALUES (?, 2, ?, ?, 1, ?, ?, ?) | Values: ["2025-10-20","test","100","2","12",1]
[17:16:54] login_id: 1 | SQL: INSERT INTO tbl_paid (date, head, particuler, amount, payable_id, flag,transaction_type, invoice_id, is_member_trans) VALUES (?, 2, ?, ?, ?, ?, ?, ?, ?) | Values: ["2025-10-20","test","100","10","2","2","12",1]
[17:17:33] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id, iswallet,flag,transaction_type) VALUES (?, ?, ?, ?, ?, ?,?,0,?,?) | Values: ["1","200","2025-10-20",1,"7","test","12","2","2"]
[17:17:33] login_id: 1 | SQL: UPDATE tbl_member_recievable SET iscomplete = ?  WHERE id = ? | Values: [1,"12"]
[17:17:33] login_id: 1 | SQL: INSERT INTO tbl_payable (date, head, particuler, amount, iscomplete, flag, invoice_id,is_member_trans) VALUES (?, 2, ?, ?, 1, ?, ?,?) | Values: ["2025-10-20","test","200","2","12",1]
[17:17:33] login_id: 1 | SQL: INSERT INTO tbl_paid (date, head, particuler, amount, payable_id, flag,transaction_type, invoice_id, is_member_trans) VALUES (?, 2, ?, ?, ?, ?, ?, ?, ?) | Values: ["2025-10-20","test","200","11","2","2","12",1]
[17:17:55] login_id: 1 | SQL: UPDATE tbl_member_recievable SET cancel = ? WHERE id = ? | Values: ["1","12"]
[17:17:55] login_id: 1 | SQL: UPDATE tbl_member_recieved SET cancel = ? WHERE receiveble_id = ? | Values: ["1","12"]
[17:17:55] login_id: 1 | SQL: UPDATE tbl_payable SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["1","12",1]
[17:17:55] login_id: 1 | SQL: UPDATE tbl_paid SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["1","12",1]
[17:18:07] login_id: 1 | SQL: UPDATE tbl_member_recievable SET cancel = ? WHERE id = ? | Values: ["0","12"]
[17:18:07] login_id: 1 | SQL: UPDATE tbl_member_recieved SET cancel = ? WHERE receiveble_id = ? | Values: ["0","12"]
[17:18:07] login_id: 1 | SQL: UPDATE tbl_payable SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["0","12",1]
[17:18:07] login_id: 1 | SQL: UPDATE tbl_paid SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["0","12",1]
